Name,Rotina_Name,is32Bits,adminRights,ManagedPipeline,CLR,Type,startupMode,TeamProject,Runtime,URL_CONFIG_ROTINA,Particularidade_Aplicação
erp-upload,erp_upload,$true,$false,"Classic","","APP","OnDemand",,,,
webcam,WebCam,$ture,$false,"Classic","v4.0","API","OnDemand",,,,
integracaoSac,IntegracaoSAC,$true,$false,"Classic","v2.0","API","OnDemand",,,,
sped,SPED,$true,$false,"Classic","v4.0","APP","OnDemand",,,/,
sintegra,Sintegra,$true,$false,"Classic","v4.0","APP","OnDemand",,,/,
reportviewer,Report Viewer,$true,$false,"Integrated","v4.0","APP","OnDemand",,,/,
conciliador,Conciliador 3.0,$true,$false,"Integrated","v4.0","APP","OnDemand",,,/,
terceiros-api,TerceirosMicroServico,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
spedcontabil,SPED Contábil,$true,$false,"Classic","","APP","OnDemand",,,/,ERP BASED - SPED
erpadmin,LinxMicrovix.ErpAdmin.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
lis-winservice,LinxMicrovix.WinService.LIS,$true,$false,"Classic","v4.0","API","OnDemand",,,/,
lis-api,LinxMicrovix.WebApi.LIS,$true,$false,"Classic","v4.0","API","OnDemand",,,/,
edi,EDI 2.0,$true,$false,"Integrated","v4.0","APP","OnDemand",,,/,
pos-sao,ServicoSAO 6.0,$true,$false,"Integrated","v4.0","API","AlwaysRunning",https://dev.azure.com/devops-microvix/POS,NET_v4.6.1,/,
pos-sincronizacao,Linx.Download.WS.Sincronizacao.ServicoSincronizacao,$true,$false,"Integrated","v4.0","API","AlwaysRunning",https://dev.azure.com/devops-microvix/POS,NET_v4.6.1,/,
pos-trocas,Linx.Download.WS.Trocas.ServicoTrocas,$true,$false,"Integrated","v4.0","API","AlwaysRunning",https://dev.azure.com/devops-microvix/POS,NET_v4.6.1,/,
giftcard-api,LMX.WebApi.GiftCard,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
hubfidelidade-api,LMX.WebApi.HubFidelidade,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
lfa-api,LFA.API,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
linx,ERP MICROVIX,$true,$true,"Classic","v4.0","APP","OnDemand",,ASP CLASSIC, Javascript,/,
erp,Login ERP,$true,$true,"Classic","v4.0","APP","OnDemand",,ASP CLASSIC, Javascript,/,
nfe4,NF-e 4.0,$true,$TRUE,"Integrated","v4.0","APP","OnDemand",,,/,
nfe4-api,LMX.API.NFe 4.0,$true,$true,"Integrated","v4.0","API","AlwaysRunning",,,/,
faturamento-api,LMX.Faturamento.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,https://dev.azure.com/devops-microvix/DevOps/_wiki/wikis/DevOps-Wiki/185/FaturamentoWebApi
dashboard-api,LMX.Dashboard.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
email-api,LMX.Email.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
es-api,LMX.ES.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
crm-api,LMX.CRM.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
admfinanceiro-api,LMX.AdmFinanceiro.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
fiscal-api,LMX.Fiscal.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
suprimentos-api,LMX.Suprimentos.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
faturamentocrediario-api,LMX.Faturamento.Crediario.WebAPI,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
produtosimagens-api,LMX.Produtos.Imagens.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
relatorios-api,LMX.Relatorios.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
biv4,lmx-bi_4.0-ui,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
vendafacil,VendaFacilWebApp,$false,$false,"Integrated","","APP","OnDemand",,"Vue.JS",/,
hubvaletrocas,HubValeTrocas,$true,$false,"Integrated","v4.0","APP","OnDemand",,,/,
lgpdterceiros-api,LGPD.Terceiros.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
estoque,EstoqueWebApp,$false,$false,"Integrated","","APP","OnDemand",,"Vue.JS",/,
catalogodigital,CatalogoDigital,$false,$false,"Integrated","","APP","OnDemand",,"Vue.JS",/,
wms,WMSfacilWebApp,$false,$false,"Integrated","","APP","OnDemand",,"Vue.JS",/,
crm,LMX.CRM.WebApp,$false,$false,"Integrated","","APP","OnDemand",,"Vue.JS",/,
erpweb,ERP.WebApp,$false,$false,"Integrated","","APP","OnDemand",,"Vue.JS",/,
servicos-api,LMX.Servicos.API,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,dotnet5,/,
agendaservicos-api,LMX.AgendaServicos.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
agendaservicos,LMX.AgendaServicos.WebApp,$false,$false,"Integrated","","APP","OnDemand",,"Vue.JS",/,
otico-api,LMX.Otico.API,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
erpcore-api,LMX.ErpCore.WebApi,$true,$false,"Integrated","v4.0","API","AlwaysRunning",,,/,
